Budget currency,Date,Week,Month,Year,Hour,Advertiser account name,Advertiser account ID,Ad product,Portfolio ID,Portfolio name,Campaign ID,Campaign name,Campaign budget amount,Campaign bid strategy,Campaign rule amount,Campaign cost type,Campaign delivery status,Ad group ID,Ad group name,Ad group delivery status,Advertised product ID,Advertised product SKU,Placement Name,Placement size,Site or app,Placement classification,Target value,Target match type,Search term,Matched target,Impressions,Invalid impression rate,Clicks,Invalid clicks,Viewable CTR (vCTR),CTR,CPC,Viewable rate,Viewable impressions,Total cost,Purchases (all views),Sales (all views),Units sold (all views),Cost per purchase (all views),Purchase rate (all views),Purchase rate over clicks (all views),ROAS (all views),Purchases (new to brand),Purchase rate (new to brand),Detail page views,"Purchases (halo, all views)","Sales (halo, all views)","Units sold (halo, all views)",Detail page view rate,Add to cart,Add to list,Long-term sales,Long-term ROAS,Purchases (combined),ROAS (combined),ROAS from clicks (combined),Sales (combined),Units sold (combined),Cost per purchase (combined),Purchase rate (combined)
USD,"Jan 25, 2026",4,1,2026,20,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Brands,220004347573435,SB - Product Collections Ketar,"=""426912518240951""",SB Prod Collection Paraffin Bags,10,unknown,,CPC,ENABLED,"=""553381897147793""",SB Prod Collection Paraffin Bags,ENABLED,,,UNKNOWN,,Unknown,Top of Search on-Amazon,paraffin gloves,PHRASE,conair paraffin gloves,conair paraffin gloves,1,0.0%,1,0,100.0%,100.0%,0.38,,1,0.38,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 23, 2026",4,1,2026,2,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,158965072190878,B0F74Q5JXY - Ninja Blender Cups Replacement,"=""558121348263173""",Sp Pt B07BGT8ZXM - B0F74Q5JXY,2,legacy,,CPC,ENABLED,"=""363537901697449""",Sp Pt B07BGT8ZXM - B0F74Q5JXY,ENABLED,B0F74Q5JXY,TO-2M2N-47CD,UNKNOWN,,Unknown,Other on-Amazon,"asin=""B07BGT8ZXM""",TARGETING_EXPRESSION,ninja 32 oz blender cups,ninja 32 oz blender cups,1,0.0%,1,0,,100.0%,0.4,,0,0.4,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 24, 2026",4,1,2026,18,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,262970418448725,Scavengers and Tests Ketar,"=""423116379077948""",SP Pt Scavenger,7,legacy,,CPC,ENABLED,"=""351673424984431""",SP Pt Scavenger,ENABLED,B074T2FWJY,LB-SRU9-1SJI,UNKNOWN,,Unknown,Detail Page on-Amazon,"asin-expanded=""B091L5BB8K""",TARGETING_EXPRESSION,B0DZNT7N1R,B0DZNT7N1R,1,0.0%,1,0,,100.0%,0.1,,0,0.1,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 25, 2026",4,1,2026,14,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,222549613359669,B0F74TJH24 - Ninja Replacement Blades,"=""407587039105863""",SP Kw Br [Rule-based bidding - Roas 5] 7 fin ninja blender - B0F74TJH24,8,ruleBased,,CPC,ENABLED,"=""532241864093964""",SP Kw Br 7 fin ninja blender - B0F74TJH24,ENABLED,B0F74TJH24,4C-RY24-QNAN,UNKNOWN,,Unknown,Top of Search on-Amazon,7 fin ninja blender,BROAD,ninja blender blade replacement 7 fin,ninja blender blade replacement 7 fin,1,0.0%,1,0,,100.0%,1.19,,0,1.19,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 26, 2026",5,1,2026,17,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Brands,220004347573435,SB - Product Collections Ketar,"=""426912518240951""",SB Prod Collection Paraffin Bags,10,unknown,,CPC,ENABLED,"=""553381897147793""",SB Prod Collection Paraffin Bags,ENABLED,,,UNKNOWN,,Unknown,Other on-Amazon,paraffin wax machine,EXACT,paraffin wax machine,paraffin wax machine,39,0.0%,1,0,25.0%,2.5641%,0.41,,4,0.41,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 21, 2026",4,1,2026,22,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,164066805119664,B078WRV6W1 - Foldable Hair Brush Top,"=""302324078987888""",Sp Kw Ros Ex Hv - travel brush - B078WRV6W1,7,legacy,,CPC,ENABLED,"=""418466091473779""",travel brush,ENABLED,B078WRV6W1,FD-8UKX-6LXG,UNKNOWN,,Unknown,Other on-Amazon,travel brush,EXACT,travel brush,travel brush,2,0.0%,1,0,,50.0%,0.52,,0,0.52,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 23, 2026",4,1,2026,13,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,224357461451146,B0DJT6KZPV - Stainless Steel Ice Pick,"=""307090911967881""",Sp KW Ex Tos - ice picks for breaking ice in freezer - B0DJT6KZPV,8,legacy,,CPC,ENABLED,"=""325615319107202""",Sp KW Ex - ice picks for breaking ice in freezer - B0DJT6KZPV,ENABLED,B0DJT6KZPV,8P-WZQ9-1W3R,UNKNOWN,,Unknown,Top of Search on-Amazon,ice picks for breaking ice in freezer,EXACT,ice picks for breaking ice in freezer,ice picks for breaking ice in freezer,1,50.0%,1,0,,100.0%,0.92,,0,0.92,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 25, 2026",4,1,2026,17,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,110538017884861,B0F74TNP9L - Ninja Replacement Cups,"=""561484139282929""",SP Kw Ex - ninja bullet replacement cups - B0F74TNP9L,7,legacy,,CPC,ENABLED,"=""320919487754835""",SP Kw Ex - ninja bullet replacement cups - B0F74TNP9L,ENABLED,B0F74TNP9L,BV-VB9R-F88S,UNKNOWN,,Unknown,Top of Search on-Amazon,ninja bullet replacement cups,EXACT,ninja bullet replacement cups,ninja bullet replacement cups,3,0.0%,1,0,,33.3333%,0.92,,0,0.92,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 23, 2026",4,1,2026,4,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,96587040378814,B0FNPJSJWY - 8 Pcs Glow in The Dark Sticky Balls,"=""515964761178225""",Sp Kw Ex Low Bid - B0FNPJSJWY,10,legacy,,CPC,ENABLED,"=""339970429502056""",Sp Kw Ex Low Bid - B0FNPJSJWY,ENABLED,B0FNPJSJWY,L5-0JB3-ZF3N,UNKNOWN,,Unknown,Detail Page on-Amazon,sticky ball ceiling,EXACT,sticky balls for ceiling,sticky balls for ceiling,2,50.0%,1,0,,50.0%,0.25,,0,0.25,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 20, 2026",4,1,2026,13,Ilshat tatarin,"=""amzn1.ads-account.g.r6tedg6b0c14fi9mhhacdfjv""",Sponsored Products,118163182088436,B0DT9QXCC3 - Pour Over Coffee Dripper,"=""423560911548046""",Sp Kw Scavenger - B0DT9QXCC3,5,legacy,,CPC,ENABLED,"=""368781255379665""",Sp Kw Scavenger - B0DT9QXCC3,ENABLED,B0DT9QXCC3,P7-IPNB-14CQ,UNKNOWN,,Unknown,Top of Search on-Amazon,pour over,PHRASE,pour over coffee maker,pour over coffee maker,1,0.0%,1,0,,100.0%,0.34,,0,0.34,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
