Budget currency,Date,Week,Month,Year,Hour,Advertiser account ID,Advertiser account name,Ad product,Portfolio ID,Portfolio name,Campaign ID,Campaign name,Campaign budget amount,Campaign delivery status,Campaign bid strategy,Campaign rule amount,Campaign cost type,Ad group ID,Ad group name,Ad group delivery status,Advertised product ID,Advertised product SKU,Placement Name,Placement size,Site or app,Placement classification,Target value,Target match type,Search term,Matched target,Impressions,Invalid impression rate,Clicks,Invalid clicks,Viewable CTR (vCTR),CTR,CPC,Viewable rate,Viewable impressions,Total cost,Purchases (all views),Sales (all views),Units sold (all views),Cost per purchase (all views),Purchase rate (all views),Purchase rate over clicks (all views),ROAS (all views),Purchases (new to brand),Purchase rate (new to brand),Detail page views,"Purchases (halo, all views)","Sales (halo, all views)","Units sold (halo, all views)",Detail page view rate,Add to cart,Add to list,Long-term sales,Long-term ROAS,Purchases (combined),ROAS (combined),ROAS from clicks (combined),Sales (combined),Units sold (combined),Cost per purchase (combined),Purchase rate (combined)
USD,"Jan 26, 2026",5,1,2026,14,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,168395887663498,B075R3XR7Y - 4Pcs Cocktail Spoon Long,"=""373820645058239""",SpV Pt B086YGF75J - B075R3XR7Y,15,ENABLED,legacy,,CPC,"=""356063657061236""",Product,ENABLED,B075R3XR7Y,EM-5VD0-2FC5,UNKNOWN,,Unknown,Other on-Amazon,"asin=""B086YGF75J""",TARGETING_EXPRESSION,12 inch glass stir sticks,12 inch glass stir sticks,1,0.0%,1,0,,100.0%,0.52,,0,0.52,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 26, 2026",5,1,2026,8,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,258730673842577,B0917J3DBG - Hose Clamp Pliers,"=""5297652143389""",Sp Kw Ex HOSE CLAMP PLIERS - B0917J3DBG,10,ENABLED,legacy,1500000,CPC,"=""270387149916530""",Exact,ENABLED,B0917J3DBG,ZP-NXDK-UGDV,UNKNOWN,,Unknown,Other on-Amazon,hose clamp pliers,EXACT,hose clamp pliers,hose clamp pliers,18,5.2632%,1,0,,5.5556%,0.52,,0,0.52,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 26, 2026",5,1,2026,18,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,208654278465169,B00XVF6Z3C - Heart spoons,"=""333447994499241""",Sp Kw Br - valentines spoons - B00XVF6Z3C,5,ENABLED,legacy,,CPC,"=""400112970619360""",Sp Kw Br - valentines spoons - B00XVF6Z3C,ENABLED,B00XVF6Z3C,II-LXDF-8CBW,UNKNOWN,,Unknown,Detail Page on-Amazon,valentines spoons,BROAD,cute spoons,cute spoons,1,0.0%,1,0,,100.0%,0.16,,0,0.16,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 26, 2026",5,1,2026,16,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,137886423153913,B0776QYR57 - Nail Swatch Sticks 200Pcs,"=""402416760984794""",Sp KW Br +nail+swatch+sticks - B0776QYR57,7,ENABLED,legacy,,CPC,"=""393089500691090""",Sp KW Br - Nail Swatch Sticks - B0776QYR57,ENABLED,B0776QYR57,JA-2HQA-0I4J,UNKNOWN,,Unknown,Top of Search on-Amazon,+nail+swatch+sticks,BROAD,nail polish color swatch,nail polish color swatch,1,0.0%,1,0,,100.0%,0.55,,0,0.55,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 21, 2026",4,1,2026,17,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,258730673842577,B0917J3DBG - Hose Clamp Pliers,"=""5297652143389""",Sp Kw Ex HOSE CLAMP PLIERS - B0917J3DBG,10,ENABLED,legacy,1500000,CPC,"=""270387149916530""",Exact,ENABLED,B0917J3DBG,ZP-NXDK-UGDV,UNKNOWN,,Unknown,Other on-Amazon,hose clamp pliers,EXACT,hose clamp pliers,hose clamp pliers,32,27.2727%,1,0,,3.125%,0.48,,0,0.48,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 22, 2026",4,1,2026,21,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,193806455870425,B089YTQ1RL - Plastic Bobbins 360,"=""356053693255431""",Sp Kw Br +bobbins+plastic - B089YTQ1RL,5,ENABLED,legacy,,CPC,"=""297309674993345""",B089YTQ1RL-SP-Broad-bobbins plastic,ENABLED,B089YTQ1RL,69-AUCB-U9L1,UNKNOWN,,Unknown,Other on-Amazon,+bobbins+plastic,BROAD,floss bobbin storage sleeves,floss bobbin storage sleeves,1,0.0%,1,0,,100.0%,0.5,,0,0.5,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 22, 2026",4,1,2026,13,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,137886423153913,B0776QYR57 - Nail Swatch Sticks 200Pcs,"=""299571231461163""",SP Kw Ex nail swatch ring - B0776QYR57,5,ENABLED,legacy,,CPC,"=""515851970410005""",SP Kw Ex nail swatch ring - B0776QYR57,ENABLED,B0776QYR57,JA-2HQA-0I4J,UNKNOWN,,Unknown,Top of Search on-Amazon,nail swatch ring,EXACT,nail swatch ring,nail swatch ring,1,0.0%,1,0,,100.0%,0.4,,0,0.4,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 24, 2026",4,1,2026,17,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,183465943838049,B073VH6FRJ - Black Mesh Bags Drawstring 5,"=""93448864284172""",SP Auto Low bid - B073VH6FRJ,5,ENABLED,legacy,,CPC,"=""188992017928180""",Ad group,ENABLED,B073VH6FRJ,YY-8BE8-9EIL,UNKNOWN,,Unknown,Detail Page on-Amazon,close-match,TARGETING_EXPRESSION_PREDEFINED,mesh bag,mesh bag,11,0.0%,1,0,,9.0909%,0.29,,0,0.29,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 27, 2026",5,1,2026,1,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,264568669930856,Scavenger Smile,"=""299362373048865""",SP Kw Scavenger Smile,10,ENABLED,legacy,1500000,CPC,"=""401774250700970""",SP Kw Scavenger,ENABLED,B00XVF6Z3C,II-LXDF-8CBW,UNKNOWN,,Unknown,Other on-Amazon,metal spoon bulk,BROAD,decorative small stainless steel silver spoons,decorative small stainless steel silver spoons,1,0.0%,1,0,,100.0%,0.1,,0,0.1,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
USD,"Jan 22, 2026",4,1,2026,21,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,273587567594476,B08PKPR7LP - 8Pcs Cocktail Spoon Long,"=""365360489600152""",Sp Pt Cat [Iced Tea Spoons] - B08PKPR7LP,5,ENABLED,legacy,,CPC,"=""552901279257348""",Sp Pt Cat [Iced Tea Spoons] - B08PKPR7LP,ENABLED,B08PKPR7LP,TY-Q1XV-A8N7,UNKNOWN,,Unknown,Top of Search on-Amazon,"category=""Iced Tea Spoons""",TARGETING_EXPRESSION,blender spoons,blender spoons,0,,1,0,,,0.67,,0,0.67,0,0.0,0,,,0.0%,0.0,0,,0,0,0.0,0,,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,
USD,"Jan 24, 2026",4,1,2026,20,"=""amzn1.ads-account.g.91kiw0ra4qgr315wjmiot7e7h""",SmilesForFriends,Sponsored Products,137886423153913,B0776QYR57 - Nail Swatch Sticks 200Pcs,"=""402416760984794""",Sp KW Br +nail+swatch+sticks - B0776QYR57,7,ENABLED,legacy,,CPC,"=""393089500691090""",Sp KW Br - Nail Swatch Sticks - B0776QYR57,ENABLED,B0776QYR57,JA-2HQA-0I4J,UNKNOWN,,Unknown,Top of Search on-Amazon,+nail+swatch+sticks,BROAD,nail swatch sticks 10cm,nail swatch sticks 10cm,2,0.0%,1,0,,50.0%,0.55,,0,0.55,0,0.0,0,,0.0%,0.0%,0.0,0,0.0%,0,0,0.0,0,0.0%,0,0,0.0,0.0,0,0.0,0.0,0.0,0,,0.0%
